Site,F1,Precision,Recall,IoU,#overlaps
90536,0.0,0.0,0.0,0.0,0
90344,0.4355555555555556,0.4666666666666667,0.4666666666666667,0.3333333333333333,7
98640,0.0,0.0,0.0,0.0,0
98585,0.035555555555555556,0.13333333333333333,0.13333333333333333,0.07142857142857142,2
99880,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.36363636363636365,8
108079,0.32000000000000006,0.4,0.4,0.25,6
90555,0.0,0.0,0.0,0.0,0
90545,0.08000000000000002,0.2,0.2,0.1111111111111111,3
98553,0.32000000000000006,0.4,0.4,0.2727272727272727,6
98572,0.008888888888888889,0.06666666666666667,0.06666666666666667,0.034482758620689655,1
98659,0.0,0.0,0.0,0.0,0
98706,0.14222222222222222,0.26666666666666666,0.26666666666666666,0.15384615384615385,4
108052,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.2,5
108097,0.008888888888888889,0.06666666666666667,0.06666666666666667,0.03571428571428571,1
100541,0.14222222222222222,0.26666666666666666,0.26666666666666666,0.15384615384615385,4
108771,0.32000000000000006,0.4,0.4,0.2608695652173913,6
2435,0.08000000000000002,0.2,0.2,0.12,3
100595,0.08000000000000002,0.2,0.2,0.11538461538461539,3
108778,0.14222222222222222,0.26666666666666666,0.26666666666666666,0.16,4
100419,0.24,0.2,0.6,0.17647058823529413,3
108438,0.0,0.0,0.0,0.0,0
108835,0.035555555555555556,0.13333333333333333,0.13333333333333333,0.07407407407407407,2
106348,0.06666666666666667,0.06666666666666667,0.5,0.0625,1
106486,0.0,0.0,0.0,0.0,0
90041,0.0,0.0,0.0,0.0,0
